,0
799,118
800,171
801,183
802,134
803,116
804,169
805,183
806,135
807,118
808,169
809,184
810,138
811,113
812,165
813,186
814,138
815,112
816,164
817,189
818,135
819,115
820,161
821,191
822,137
823,111
824,159
825,187
826,142
827,116
828,162
829,183
830,137
831,108
832,162
833,187
834,137
835,111
836,160
837,189
838,140
839,113
840,156
841,190
842,142
843,107
844,159
845,192
846,140
847,109
848,153
849,191
850,145
851,112
852,155
853,188
854,141
855,110
856,153
857,189
858,143
859,106
860,154
861,191
862,148
863,113
864,154
865,191
866,148
867,112
868,151
869,190
870,150
871,109
872,149
873,188
874,147
875,113
876,140
877,188
878,149
879,112
880,146
881,189
882,146
883,111
884,144
885,189
886,150
887,108
888,142
889,187
890,153
891,105
892,138
893,183
894,150
895,109
896,137
897,189
898,156
899,106
900,140
901,184
902,157
903,105
904,139
905,186
906,158
907,111
908,138
909,183
910,156
911,111
912,132
913,178
914,155
915,109
916,134
917,184
918,159
919,108
920,135
921,186
922,157
923,109
924,132
925,179
926,162
927,106
928,131
929,183
930,163
931,111
932,128
933,186
934,161
935,107
936,125
937,179
938,164
939,115
940,129
941,181
942,162
943,109
944,130
945,179
946,164
947,116
948,126
949,181
950,167
951,115
952,130
953,180
954,166
955,115
956,128
957,178
958,163
959,115
960,125
961,178
962,169
963,116
964,125
965,176
966,168
967,119
968,124
969,173
970,171
971,114
972,124
973,169
974,171
975,120
976,119
977,172
978,171
979,121
980,119
981,172
982,168
983,117
984,117
985,171
986,175
987,116
988,117
989,168
990,173
991,125
992,117
993,168
994,173
995,123
996,116
997,167
998,168
999,121
1000,118
1001,164
1002,170
1003,124
1004,118
1005,168
1006,172
1007,123
1008,117
1009,172
1010,179
1011,124
1012,110
1013,166
1014,175
1015,123
1016,110
1017,166
1018,173
1019,125
1020,115
1021,169
1022,173
1023,129
1024,115
1025,167
1026,173
1027,128
1028,115
1029,164
1030,179
1031,132
1032,113
1033,159
1034,180
1035,130
1036,113
1037,163
1038,180
1039,129
1040,110
1041,161
1042,180
1043,132
1044,106
1045,157
1046,183
1047,129
1048,114
1049,159
1050,180
1051,132
1052,111
1053,162
1054,179
1055,133
1056,110
1057,160
1058,185
1059,136
1060,106
1061,159
1062,187
1063,135
1064,111
1065,155
1066,181
1067,138
1068,111
1069,156
1070,179
1071,135
1072,109
1073,154
1074,188
1075,143
1076,107
1077,155
1078,190
1079,136
1080,103
1081,155
1082,181
1083,143
1084,107
1085,154
1086,185
1087,145
1088,113
1089,149
1090,182
1091,144
1092,109
1093,151
1094,187
1095,143
1096,106
1097,150
1098,186
1099,140
1100,107
1101,152
1102,187
1103,146
1104,108
1105,145
1106,189
1107,148
1108,110
1109,151
1110,184
1111,144
1112,111
1113,149
1114,185
1115,148
1116,105
1117,145
1118,187
1119,145
1120,109
1121,148
1122,185
1123,150
1124,108
1125,141
1126,187
1127,148
1128,109
1129,142
1130,186
1131,150
1132,109
1133,145
1134,186
1135,147
1136,104
1137,142
1138,185
1139,153
1140,108
1141,140
1142,182
1143,156
1144,111
1145,141
1146,189
1147,152
1148,107
1149,141
1150,182
1151,155
1152,109
1153,140
1154,188
1155,156
1156,113
1157,139
1158,187
1159,160
1160,109
1161,137
1162,181
1163,156
1164,107
1165,138
1166,185
1167,158
1168,112
1169,135
1170,179
1171,162
1172,111
1173,131
1174,182
1175,159
1176,109
1177,135
1178,183
1179,158
1180,109
1181,129
1182,179
1183,162
1184,111
1185,130
1186,184
1187,162
1188,111
1189,131
1190,182
1191,167
1192,110
1193,130
1194,179
1195,165
1196,113
1197,129
1198,182
1199,166
1200,115
1201,126
1202,179
1203,165
1204,118
1205,128
1206,176
1207,164
1208,113
1209,129
1210,184
1211,168
1212,118
1213,126
1214,178
1215,168
1216,116
1217,122
1218,177
1219,170
1220,118
1221,123
1222,179
1223,171
1224,117
1225,125
1226,176
1227,172
1228,122
1229,121
1230,175
1231,172
1232,122
1233,123
1234,173
1235,174
1236,124
1237,120
1238,175
1239,175
1240,116
1241,120
1242,170
1243,174
1244,124
1245,122
1246,171
1247,171
1248,125
1249,125
1250,174
1251,174
1252,121
1253,121
1254,171
1255,175
1256,124
1257,116
1258,172
1259,179
1260,125
1261,121
1262,168
1263,180
1264,129
1265,117
1266,165
1267,180
1268,129
1269,119
1270,168
1271,173
1272,129
1273,116
1274,170
1275,176
1276,129
1277,117
1278,164
1279,184
1280,133
1281,114
1282,169
1283,182
1284,134
1285,116
1286,168
1287,183
1288,133
1289,115
1290,166
1291,183
1292,135
1293,117
1294,162
1295,187
1296,135
1297,114
1298,161
1299,185
1300,135
1301,112
1302,161
1303,186
1304,137
1305,114
1306,164
1307,187
1308,143
1309,111
1310,160
1311,192
1312,138
1313,114
1314,163
1315,187
1316,135
1317,114
1318,159
1319,184
1320,142
1321,104
1322,158
1323,187
1324,142
1325,112
1326,155
1327,187
1328,142
1329,108
1330,153
1331,185
1332,138
1333,106
1334,153
1335,185
1336,144
1337,107
1338,154
1339,185
1340,141
1341,106
1342,153
1343,182
1344,148
1345,108
1346,148
1347,189
1348,143
1349,109
1350,147
1351,190
1352,147
1353,108
1354,148
1355,186
1356,149
1357,108
1358,151
1359,186
1360,148
1361,109
1362,149
1363,185
1364,148
1365,108
1366,146
1367,186
1368,145
1369,111
1370,141
1371,184
1372,151
1373,107
1374,139
1375,184
1376,148
1377,112
1378,141
1379,185
1380,154
1381,106
1382,139
1383,182
1384,152
1385,108
1386,141
1387,184
1388,149
1389,110
1390,135
1391,185
1392,155
1393,110
1394,140
1395,179
1396,154
1397,108
1398,130
1399,181
1400,156
1401,109
1402,140
1403,184
1404,155
1405,111
1406,133
1407,178
1408,157
1409,108
1410,131
1411,182
1412,161
1413,115
1414,136
1415,193
1416,166
1417,114
1418,133
1419,181
1420,165
1421,118
1422,133
1423,189
1424,165
1425,117
1426,137
1427,184
1428,168
1429,122
1430,132
1431,183
1432,169
1433,115
1434,133
1435,184
1436,172
1437,121
1438,135
1439,185
1440,172
1441,121
1442,137
1443,185
1444,177
1445,124
1446,130
1447,182
1448,177
1449,125
1450,132
1451,177
1452,171
1453,126
1454,132
1455,181
1456,174
1457,125
1458,124
1459,180
1460,174
1461,128
1462,133
1463,181
1464,182
1465,129
1466,135
1467,185
1468,177
1469,134
1470,138
1471,182
